GEOID,NAME,var,f,m,total
40,Oklahoma,age_sex_40_44_yrs,116415,116419,232834
40,Oklahoma,age_sex_45_49_yrs,116685,115561,232246
40,Oklahoma,age_sex_5_9_yrs,132028,139585,271613
40,Oklahoma,age_sex_50_54_yrs,124735,123830,248565
40,Oklahoma,age_sex_55_59_yrs,132766,124378,257144
40,Oklahoma,age_sex_60_61_yrs,51603,44469,96072
40,Oklahoma,age_sex_62_64_yrs,68701,66256,134957
40,Oklahoma,age_sex_65_66_yrs,40919,38751,79670
40,Oklahoma,age_sex_67_69_yrs,62249,54688,116937
40,Oklahoma,age_sex_70_74_yrs,79168,67609,146777
40,Oklahoma,age_sex_75_79_yrs,57135,45311,102446
40,Oklahoma,age_sex_80_84_yrs,44790,30874,75664
40,Oklahoma,age_sex_85_or_more_yrs,43062,23736,66798
40,Oklahoma,age_sex_total_pop,1980288,1943273,3923561
41,Oregon,age_sex_0_4_yrs,113309,121273,234582
41,Oregon,age_sex_10_14_yrs,120413,122376,242789
41,Oregon,age_sex_15_17_yrs,73454,76054,149508
41,Oregon,age_sex_18_19_yrs,50663,51073,101736
41,Oregon,age_sex_20_yrs,25961,29704,55665
41,Oregon,age_sex_21_yrs,26222,25257,51479
41,Oregon,age_sex_22_24_yrs,77727,80660,158387
41,Oregon,age_sex_25_29_yrs,139263,146478,285741
41,Oregon,age_sex_30_34_yrs,144042,143250,287292
41,Oregon,age_sex_35_39_yrs,145174,139273,284447
41,Oregon,age_sex_40_44_yrs,118516,130809,249325
41,Oregon,age_sex_45_49_yrs,129189,130299,259488
41,Oregon,age_sex_5_9_yrs,116964,124403,241367
41,Oregon,age_sex_50_54_yrs,128051,127361,255412
41,Oregon,age_sex_55_59_yrs,137829,128839,266668
41,Oregon,age_sex_60_61_yrs,56997,53497,110494
41,Oregon,age_sex_62_64_yrs,89507,80690,170197
41,Oregon,age_sex_65_66_yrs,54849,53142,107991
41,Oregon,age_sex_67_69_yrs,77667,66527,144194
41,Oregon,age_sex_70_74_yrs,84972,79490,164462
41,Oregon,age_sex_75_79_yrs,60045,52571,112616
41,Oregon,age_sex_80_84_yrs,39829,30927,70756
41,Oregon,age_sex_85_or_more_yrs,56784,32085,88869
41,Oregon,age_sex_total_pop,2067427,2026038,4093465
42,Pennsylvania,age_sex_0_4_yrs,345573,364170,709743
42,Pennsylvania,age_sex_10_14_yrs,369881,388e3,757881
42,Pennsylvania,age_sex_15_17_yrs,230387,245835,476222
42,Pennsylvania,age_sex_18_19_yrs,177805,178782,356587
42,Pennsylvania,age_sex_20_yrs,84787,89494,174281
42,Pennsylvania,age_sex_21_yrs,89027,87479,176506
42,Pennsylvania,age_sex_22_24_yrs,233009,247024,480033
42,Pennsylvania,age_sex_25_29_yrs,424343,441160,865503
42,Pennsylvania,age_sex_30_34_yrs,399562,408978,808540
42,Pennsylvania,age_sex_35_39_yrs,380017,382085,762102
42,Pennsylvania,age_sex_40_44_yrs,363180,356083,719263
42,Pennsylvania,age_sex_45_49_yrs,420682,414850,835532
42,Pennsylvania,age_sex_5_9_yrs,358863,372136,730999
42,Pennsylvania,age_sex_50_54_yrs,458107,443988,902095
42,Pennsylvania,age_sex_55_59_yrs,479663,462511,942174
42,Pennsylvania,age_sex_60_61_yrs,182305,173231,355536
42,Pennsylvania,age_sex_62_64_yrs,267429,242040,509469
42,Pennsylvania,age_sex_65_66_yrs,148545,143075,291620
42,Pennsylvania,age_sex_67_69_yrs,232135,200693,432828
42,Pennsylvania,age_sex_70_74_yrs,279756,235370,515126
42,Pennsylvania,age_sex_75_79_yrs,208285,158769,367054
42,Pennsylvania,age_sex_80_84_yrs,166276,115340,281616
42,Pennsylvania,age_sex_85_or_more_yrs,221740,111777,333517
42,Pennsylvania,age_sex_total_pop,6521357,6262870,12784227
44,Rhode Island,age_sex_0_4_yrs,27089,27055,54144
44,Rhode Island,age_sex_10_14_yrs,31963,32382,64345
44,Rhode Island,age_sex_15_17_yrs,18924,19723,38647
44,Rhode Island,age_sex_18_19_yrs,18443,16924,35367
44,Rhode Island,age_sex_20_yrs,9169,8636,17805
44,Rhode Island,age_sex_21_yrs,8271,8109,16380
44,Rhode Island,age_sex_22_24_yrs,21152,23037,44189
44,Rhode Island,age_sex_25_29_yrs,36805,38489,75294
44,Rhode Island,age_sex_30_34_yrs,33391,34107,67498
44,Rhode Island,age_sex_35_39_yrs,30290,30145,60435
44,Rhode Island,age_sex_40_44_yrs,32040,30558,62598
44,Rhode Island,age_sex_45_49_yrs,36278,33158,69436
44,Rhode Island,age_sex_5_9_yrs,24154,27350,51504
44,Rhode Island,age_sex_50_54_yrs,39870,37327,77197
44,Rhode Island,age_sex_55_59_yrs,41797,37107,78904
44,Rhode Island,age_sex_60_61_yrs,14051,14803,28854
44,Rhode Island,age_sex_62_64_yrs,21876,17898,39774
44,Rhode Island,age_sex_65_66_yrs,11584,10666,22250
44,Rhode Island,age_sex_67_69_yrs,17651,15588,33239
44,Rhode Island,age_sex_70_74_yrs,22379,19179,41558
44,Rhode Island,age_sex_75_79_yrs,13957,12936,26893
44,Rhode Island,age_sex_80_84_yrs,13764,8610,22374
44,Rhode Island,age_sex_85_or_more_yrs,20170,7571,27741
44,Rhode Island,age_sex_total_pop,545068,511358,1056426
45,South Carolina,age_sex_0_4_yrs,142077,147935,290012
45,South Carolina,age_sex_10_14_yrs,153145,161475,314620
45,South Carolina,age_sex_15_17_yrs,92084,93286,185370
45,South Carolina,age_sex_18_19_yrs,69583,75806,145389
45,South Carolina,age_sex_20_yrs,32606,35609,68215
45,South Carolina,age_sex_21_yrs,34292,38434,72726
45,South Carolina,age_sex_22_24_yrs,92889,93460,186349
45,South Carolina,age_sex_25_29_yrs,171664,165989,337653
45,South Carolina,age_sex_30_34_yrs,156947,152398,309345
45,South Carolina,age_sex_35_39_yrs,164322,152391,316713
45,South Carolina,age_sex_40_44_yrs,150218,144597,294815
45,South Carolina,age_sex_45_49_yrs,160436,149879,310315
45,South Carolina,age_sex_5_9_yrs,151040,158922,309962
45,South Carolina,age_sex_50_54_yrs,172612,160537,333149
45,South Carolina,age_sex_55_59_yrs,175974,156514,332488
45,South Carolina,age_sex_60_61_yrs,72556,62495,135051
45,South Carolina,age_sex_62_64_yrs,100371,88429,188800
45,South Carolina,age_sex_65_66_yrs,64086,57600,121686
45,South Carolina,age_sex_67_69_yrs,95379,83974,179353
45,South Carolina,age_sex_70_74_yrs,116143,97631,213774
45,South Carolina,age_sex_75_79_yrs,76102,60935,137037
45,South Carolina,age_sex_80_84_yrs,52365,39040,91405
45,South Carolina,age_sex_85_or_more_yrs,58885,28007,86892
45,South Carolina,age_sex_total_pop,2555776,2405343,4961119
46,South Dakota,age_sex_0_4_yrs,29689,31203,60892
46,South Dakota,age_sex_10_14_yrs,28911,29218,58129
46,South Dakota,age_sex_15_17_yrs,15148,18020,33168
46,South Dakota,age_sex_18_19_yrs,12245,13962,26207
46,South Dakota,age_sex_20_yrs,6185,6895,13080
46,South Dakota,age_sex_21_yrs,5979,7059,13038
46,South Dakota,age_sex_22_24_yrs,16612,16722,33334
46,South Dakota,age_sex_25_29_yrs,26841,29222,56063
46,South Dakota,age_sex_30_34_yrs,26182,29291,55473
46,South Dakota,age_sex_35_39_yrs,25490,26913,52403
46,South Dakota,age_sex_40_44_yrs,22209,24050,46259
46,South Dakota,age_sex_45_49_yrs,24170,23517,47687
46,South Dakota,age_sex_5_9_yrs,29229,32483,61712
46,South Dakota,age_sex_50_54_yrs,27465,26747,54212
46,South Dakota,age_sex_55_59_yrs,29101,31232,60333
46,South Dakota,age_sex_60_61_yrs,11501,11135,22636
46,South Dakota,age_sex_62_64_yrs,17425,15834,33259
46,South Dakota,age_sex_65_66_yrs,9003,10945,19948
46,South Dakota,age_sex_67_69_yrs,15419,12035,27454
46,South Dakota,age_sex_70_74_yrs,14910,14904,29814
46,South Dakota,age_sex_75_79_yrs,12642,10162,22804
46,South Dakota,age_sex_80_84_yrs,9543,7455,16998
46,South Dakota,age_sex_85_or_more_yrs,13887,6664,20551
46,South Dakota,age_sex_total_pop,429786,435668,865454
47,Tennessee,age_sex_0_4_yrs,198332,205836,404168
47,Tennessee,age_sex_10_14_yrs,204881,222281,427162
47,Tennessee,age_sex_15_17_yrs,122680,135068,257748
47,Tennessee,age_sex_18_19_yrs,85345,87114,172459
47,Tennessee,age_sex_20_yrs,46821,48520,95341
47,Tennessee,age_sex_21_yrs,42619,45446,88065
47,Tennessee,age_sex_22_24_yrs,130884,133995,264879
47,Tennessee,age_sex_25_29_yrs,231403,229717,461120
47,Tennessee,age_sex_30_34_yrs,214587,210322,424909
47,Tennessee,age_sex_35_39_yrs,214762,212379,427141
47,Tennessee,age_sex_40_44_yrs,211642,199114,410756
47,Tennessee,age_sex_45_49_yrs,223053,215554,438607
47,Tennessee,age_sex_5_9_yrs,203658,210516,414174
47,Tennessee,age_sex_50_54_yrs,234023,221297,455320
47,Tennessee,age_sex_55_59_yrs,231057,213490,444547
47,Tennessee,age_sex_60_61_yrs,92772,79005,171777
47,Tennessee,age_sex_62_64_yrs,130687,117079,247766
47,Tennessee,age_sex_65_66_yrs,81625,75148,156773
47,Tennessee,age_sex_67_69_yrs,111247,100049,211296
47,Tennessee,age_sex_70_74_yrs,142601,117700,260301
47,Tennessee,age_sex_75_79_yrs,104848,83339,188187
47,Tennessee,age_sex_80_84_yrs,71121,48648,119769
47,Tennessee,age_sex_85_or_more_yrs,73488,35441,108929
47,Tennessee,age_sex_total_pop,3404136,3247058,6651194
48,Texas,age_sex_0_4_yrs,980007,1026904,2006911
48,Texas,age_sex_10_14_yrs,1002551,1048942,2051493
48,Texas,age_sex_15_17_yrs,589477,612565,1202042
48,Texas,age_sex_18_19_yrs,382478,421215,803693
48,Texas,age_sex_20_yrs,201346,208370,409716
48,Texas,age_sex_21_yrs,195981,212797,408778
48,Texas,age_sex_22_24_yrs,567510,605925,1173435
48,Texas,age_sex_25_29_yrs,1005944,1038819,2044763
48,Texas,age_sex_30_34_yrs,1001961,1014866,2016827
48,Texas,age_sex_35_39_yrs,949376,957530,1906906
48,Texas,age_sex_40_44_yrs,927322,914610,1841932
48,Texas,age_sex_45_49_yrs,890994,878559,1769553
48,Texas,age_sex_5_9_yrs,996058,1035190,2031248
48,Texas,age_sex_50_54_yrs,874407,856704,1731111
48,Texas,age_sex_55_59_yrs,847128,821431,1668559
48,Texas,age_sex_60_61_yrs,320212,290001,610213
48,Texas,age_sex_62_64_yrs,434354,398219,832573
48,Texas,age_sex_65_66_yrs,263098,233383,496481
48,Texas,age_sex_67_69_yrs,363348,323556,686904
48,Texas,age_sex_70_74_yrs,445516,382806,828322
48,Texas,age_sex_75_79_yrs,325539,256048,581587
48,Texas,age_sex_80_84_yrs,222717,161334,384051
48,Texas,age_sex_85_or_more_yrs,244319,131179,375498
48,Texas,age_sex_total_pop,14031643,13830953,27862596
49,Utah,age_sex_0_4_yrs,122210,131212,253422
49,Utah,age_sex_10_14_yrs,122857,129523,252380
49,Utah,age_sex_15_17_yrs,72139,75251,147390
49,Utah,age_sex_18_19_yrs,46467,45875,92342
49,Utah,age_sex_20_yrs,23540,22152,45692
49,Utah,age_sex_21_yrs,27791,26946,54737
49,Utah,age_sex_22_24_yrs,71415,81940,153355
49,Utah,age_sex_25_29_yrs,109592,115387,224979
49,Utah,age_sex_30_34_yrs,111123,111932,223055
49,Utah,age_sex_35_39_yrs,110205,116647,226852
49,Utah,age_sex_40_44_yrs,90479,92695,183174
49,Utah,age_sex_45_49_yrs,79156,83695,162851
49,Utah,age_sex_5_9_yrs,130315,138340,268655
49,Utah,age_sex_50_54_yrs,75419,74582,150001
49,Utah,age_sex_55_59_yrs,76448,76960,153408
49,Utah,age_sex_60_61_yrs,30215,29115,59330
49,Utah,age_sex_62_64_yrs,41790,38314,80104
49,Utah,age_sex_65_66_yrs,24173,22602,46775
49,Utah,age_sex_67_69_yrs,34744,31418,66162
49,Utah,age_sex_70_74_yrs,40376,36978,77354
49,Utah,age_sex_75_79_yrs,29429,25393,54822
49,Utah,age_sex_80_84_yrs,23168,15401,38569
49,Utah,age_sex_85_or_more_yrs,20021,15787,35808
49,Utah,age_sex_total_pop,1513072,1538145,3051217
50,Vermont,age_sex_0_4_yrs,14102,16362,30464
50,Vermont,age_sex_10_14_yrs,16581,17395,33976
50,Vermont,age_sex_15_17_yrs,10300,10864,21164
50,Vermont,age_sex_18_19_yrs,9629,10977,20606
50,Vermont,age_sex_20_yrs,4726,6650,11376
50,Vermont,age_sex_21_yrs,5719,5506,11225
50,Vermont,age_sex_22_24_yrs,12128,11012,23140
50,Vermont,age_sex_25_29_yrs,18385,18862,37247
50,Vermont,age_sex_30_34_yrs,17475,17163,34638
50,Vermont,age_sex_35_39_yrs,17864,16569,34433
50,Vermont,age_sex_40_44_yrs,17490,18596,36086
50,Vermont,age_sex_45_49_yrs,20548,19894,40442
50,Vermont,age_sex_5_9_yrs,16601,16479,33080
50,Vermont,age_sex_50_54_yrs,23692,22590,46282
50,Vermont,age_sex_55_59_yrs,25629,23724,49353
50,Vermont,age_sex_60_61_yrs,10023,9653,19676
50,Vermont,age_sex_62_64_yrs,13861,13945,27806
50,Vermont,age_sex_65_66_yrs,7115,8824,15939
50,Vermont,age_sex_67_69_yrs,13516,10553,24069
50,Vermont,age_sex_70_74_yrs,15051,13916,28967
50,Vermont,age_sex_75_79_yrs,9846,8852,18698
50,Vermont,age_sex_80_84_yrs,6923,4792,11715
50,Vermont,age_sex_85_or_more_yrs,9516,4696,14212
50,Vermont,age_sex_total_pop,316720,307874,624594
51,Virginia,age_sex_0_4_yrs,246894,256888,503782
51,Virginia,age_sex_10_14_yrs,256983,266690,523673
51,Virginia,age_sex_15_17_yrs,152827,163766,316593
51,Virginia,age_sex_18_19_yrs,121565,124499,246064
51,Virginia,age_sex_20_yrs,56590,59338,115928
51,Virginia,age_sex_21_yrs,54856,60847,115703
51,Virginia,age_sex_22_24_yrs,164127,181253,345380
51,Virginia,age_sex_25_29_yrs,288984,291339,580323
51,Virginia,age_sex_30_34_yrs,286276,285727,572003
51,Virginia,age_sex_35_39_yrs,279005,276094,555099
51,Virginia,age_sex_40_44_yrs,270477,269081,539558
51,Virginia,age_sex_45_49_yrs,290724,276836,567560
51,Virginia,age_sex_5_9_yrs,256036,267476,523512
51,Virginia,age_sex_50_54_yrs,304821,292595,597416
51,Virginia,age_sex_55_59_yrs,292628,279582,572210
51,Virginia,age_sex_60_61_yrs,113520,105187,218707
51,Virginia,age_sex_62_64_yrs,153683,136569,290252
51,Virginia,age_sex_65_66_yrs,90967,80300,171267
51,Virginia,age_sex_67_69_yrs,138510,121278,259788
51,Virginia,age_sex_70_74_yrs,165845,140589,306434
51,Virginia,age_sex_75_79_yrs,116507,91183,207690
51,Virginia,age_sex_80_84_yrs,82847,60313,143160
51,Virginia,age_sex_85_or_more_yrs,91651,48055,139706
51,Virginia,age_sex_total_pop,4276323,4135485,8411808
53,Washington,age_sex_0_4_yrs,219320,230624,449944
53,Washington,age_sex_10_14_yrs,216737,225869,442606
53,Washington,age_sex_15_17_yrs,133189,137147,270336
53,Washington,age_sex_18_19_yrs,88401,92040,180441
53,Washington,age_sex_20_yrs,50069,49734,99803
53,Washington,age_sex_21_yrs,42229,45970,88199
53,Washington,age_sex_22_24_yrs,137532,156409,293941
53,Washington,age_sex_25_29_yrs,264711,285311,550022
53,Washington,age_sex_30_34_yrs,255367,269414,524781
53,Washington,age_sex_35_39_yrs,251243,251730,502973
53,Washington,age_sex_40_44_yrs,216809,224252,441061
53,Washington,age_sex_45_49_yrs,234407,239006,473413
53,Washington,age_sex_5_9_yrs,226679,239496,466175
53,Washington,age_sex_50_54_yrs,238633,239181,477814
53,Washington,age_sex_55_59_yrs,245497,240887,486384
53,Washington,age_sex_60_61_yrs,100645,88724,189369
53,Washington,age_sex_62_64_yrs,139445,132480,271925
53,Washington,age_sex_65_66_yrs,82317,78537,160854
53,Washington,age_sex_67_69_yrs,118013,104664,222677
53,Washington,age_sex_70_74_yrs,142648,128405,271053
53,Washington,age_sex_75_79_yrs,95119,79355,174474
53,Washington,age_sex_80_84_yrs,66721,52538,119259
53,Washington,age_sex_85_or_more_yrs,82543,47953,130496
53,Washington,age_sex_total_pop,3648274,3639726,7288e3
54,West Virginia,age_sex_0_4_yrs,50365,51303,101668
54,West Virginia,age_sex_10_14_yrs,52158,54586,106744
54,West Virginia,age_sex_15_17_yrs,32638,33003,65641
54,West Virginia,age_sex_18_19_yrs,23461,23840,47301
54,West Virginia,age_sex_20_yrs,10885,13449,24334
54,West Virginia,age_sex_21_yrs,11838,13490,25328
54,West Virginia,age_sex_22_24_yrs,31359,34140,65499
54,West Virginia,age_sex_25_29_yrs,55796,54678,110474
54,West Virginia,age_sex_30_34_yrs,52336,53294,105630
54,West Virginia,age_sex_35_39_yrs,53285,53974,107259
54,West Virginia,age_sex_40_44_yrs,57231,58109,115340
54,West Virginia,age_sex_45_49_yrs,58448,58878,117326
54,West Virginia,age_sex_5_9_yrs,50726,52104,102830
54,West Virginia,age_sex_50_54_yrs,63044,63054,126098
54,West Virginia,age_sex_55_59_yrs,70414,65347,135761
54,West Virginia,age_sex_60_61_yrs,26820,26513,53333
54,West Virginia,age_sex_62_64_yrs,40424,36337,76761
54,West Virginia,age_sex_65_66_yrs,24553,21988,46541
54,West Virginia,age_sex_67_69_yrs,36928,36250,73178
54,West Virginia,age_sex_70_74_yrs,44752,39568,84320
54,West Virginia,age_sex_75_79_yrs,33421,27661,61082
54,West Virginia,age_sex_80_84_yrs,21467,15244,36711
54,West Virginia,age_sex_85_or_more_yrs,27840,14103,41943
54,West Virginia,age_sex_total_pop,930189,900913,1831102
55,Wisconsin,age_sex_0_4_yrs,163233,170858,334091
55,Wisconsin,age_sex_10_14_yrs,177489,188194,365683
55,Wisconsin,age_sex_15_17_yrs,110230,114858,225088
55,Wisconsin,age_sex_18_19_yrs,76772,78831,155603
55,Wisconsin,age_sex_20_yrs,42667,43481,86148
55,Wisconsin,age_sex_21_yrs,42643,39791,82434
55,Wisconsin,age_sex_22_24_yrs,112949,123255,236204
55,Wisconsin,age_sex_25_29_yrs,174416,185283,359699
55,Wisconsin,age_sex_30_34_yrs,182412,187911,370323
55,Wisconsin,age_sex_35_39_yrs,175592,181552,357144
55,Wisconsin,age_sex_40_44_yrs,160428,168139,328567
55,Wisconsin,age_sex_45_49_yrs,183458,182795,366253
55,Wisconsin,age_sex_5_9_yrs,177024,183105,360129
55,Wisconsin,age_sex_50_54_yrs,209102,206305,415407
55,Wisconsin,age_sex_55_59_yrs,217236,212619,429855
55,Wisconsin,age_sex_60_61_yrs,79095,78880,157975
55,Wisconsin,age_sex_62_64_yrs,113011,107834,220845
55,Wisconsin,age_sex_65_66_yrs,67778,65895,133673
55,Wisconsin,age_sex_67_69_yrs,89466,88371,177837
55,Wisconsin,age_sex_70_74_yrs,115677,102036,217713
55,Wisconsin,age_sex_75_79_yrs,83749,70351,154100
55,Wisconsin,age_sex_80_84_yrs,67397,48566,115963
55,Wisconsin,age_sex_85_or_more_yrs,83964,44011,127975
55,Wisconsin,age_sex_total_pop,2905788,2872921,5778709
56,Wyoming,age_sex_0_4_yrs,17341,20532,37873
56,Wyoming,age_sex_10_14_yrs,18769,18484,37253
56,Wyoming,age_sex_15_17_yrs,10645,11115,21760
56,Wyoming,age_sex_18_19_yrs,8356,7349,15705
56,Wyoming,age_sex_20_yrs,4585,4365,8950
56,Wyoming,age_sex_21_yrs,2953,3798,6751
56,Wyoming,age_sex_22_24_yrs,9689,12752,22441
56,Wyoming,age_sex_25_29_yrs,19764,20748,40512
56,Wyoming,age_sex_30_34_yrs,19488,20974,40462
56,Wyoming,age_sex_35_39_yrs,18790,17739,36529
56,Wyoming,age_sex_40_44_yrs,16394,19209,35603
56,Wyoming,age_sex_45_49_yrs,14813,18469,33282
56,Wyoming,age_sex_5_9_yrs,22038,21936,43974
56,Wyoming,age_sex_50_54_yrs,17641,18163,35804
56,Wyoming,age_sex_55_59_yrs,20313,19076,39389
56,Wyoming,age_sex_60_61_yrs,8071,9531,17602
56,Wyoming,age_sex_62_64_yrs,11346,12682,24028
56,Wyoming,age_sex_65_66_yrs,6941,6626,13567
56,Wyoming,age_sex_67_69_yrs,8057,8992,17049
56,Wyoming,age_sex_70_74_yrs,11550,11477,23027
56,Wyoming,age_sex_75_79_yrs,8302,6140,14442
56,Wyoming,age_sex_80_84_yrs,5361,4286,9647
56,Wyoming,age_sex_85_or_more_yrs,6089,3762,9851
56,Wyoming,age_sex_total_pop,287296,298205,585501
72,Puerto Rico,age_sex_0_4_yrs,77178,82575,159753
72,Puerto Rico,age_sex_10_14_yrs,103435,107834,211269
72,Puerto Rico,age_sex_15_17_yrs,66262,73121,139383
72,Puerto Rico,age_sex_18_19_yrs,47884,50958,98842
72,Puerto Rico,age_sex_20_yrs,26245,27103,53348
72,Puerto Rico,age_sex_21_yrs,25310,26708,52018
72,Puerto Rico,age_sex_22_24_yrs,70659,68367,139026
72,Puerto Rico,age_sex_25_29_yrs,110069,107832,217901
72,Puerto Rico,age_sex_30_34_yrs,101091,94137,195228
72,Puerto Rico,age_sex_35_39_yrs,116627,103902,220529
72,Puerto Rico,age_sex_40_44_yrs,115232,104591,219823
72,Puerto Rico,age_sex_45_49_yrs,113249,102591,215840
72,Puerto Rico,age_sex_5_9_yrs,90318,95153,185471
72,Puerto Rico,age_sex_50_54_yrs,121942,102751,224693
72,Puerto Rico,age_sex_55_59_yrs,117815,102496,220311
72,Puerto Rico,age_sex_60_61_yrs,48807,40427,89234
72,Puerto Rico,age_sex_62_64_yrs,68019,54734,122753
72,Puerto Rico,age_sex_65_66_yrs,44678,36481,81159
72,Puerto Rico,age_sex_67_69_yrs,64294,54498,118792
72,Puerto Rico,age_sex_70_74_yrs,91744,73753,165497
72,Puerto Rico,age_sex_75_79_yrs,68338,54441,122779
72,Puerto Rico,age_sex_80_84_yrs,45941,35012,80953
72,Puerto Rico,age_sex_85_or_more_yrs,50603,26102,76705
72,Puerto Rico,age_sex_total_pop,1785740,1625567,3411307
